QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYA,CLOTHYA_,CLOTHMOA,CLOT_MOA,CLOTHXA,CLOTHXA_
20151,2873704,3,203,1,200,D,2,D,54,E
20151,2873734,3,102,1,200,D,1,D,85,E
20151,2873734,3,202,1,200,D,1,D,24,E
20151,2873914,1,4,1,200,D,12,D,99,E
20151,2874014,14,0,1,200,D,1,D,44,D
20151,2874014,19,2,2,200,D,12,D,6,E
20151,2874354,3,0,1,200,D,1,D,54,D
20151,2874454,9,0,1,200,D,1,D,21,D
20151,2874454,24,0,2,200,D,12,D,29,D
20151,2875334,4,0,1,200,D,12,D,.,H
20151,2875334,4,100,1,200,D,12,D,24,E
20151,2875334,4,200,1,200,D,12,D,11,E
20151,2875434,2,0,1,200,D,12,D,38,D
20151,2875884,6,0,1,200,D,2,D,53,D
20151,2876444,7,0,2,200,D,12,D,65,D
20151,2876944,6,0,1,200,D,12,D,27,D
20151,2877044,6,2,1,200,D,12,D,19,E
20151,2877094,4,0,1,200,D,12,D,.,H
20151,2877094,4,200,1,200,D,12,D,27,E
20151,2877094,4,300,1,200,D,12,D,22,E
20151,2877434,4,0,2,200,D,12,D,40,D
20151,2877444,1,303,1,200,D,1,D,25,E
20151,2877544,5,1,1,200,D,2,D,35,E
20151,2877654,8,0,1,200,D,2,D,73,D
20151,2877684,2,3,1,200,D,2,D,61,E
20151,2877704,1,0,1,200,D,12,D,45,D
20151,2877864,4,103,1,200,D,1,D,11,E
20151,2877864,4,204,1,200,D,1,D,35,E
20151,2878184,2,102,1,200,D,12,D,13,E
20151,2878664,1,7,1,200,D,12,D,33,E
20151,2878664,2,7,1,200,D,1,D,33,E
20151,2878664,3,7,1,200,D,2,D,38,E
20151,2878694,2,3,1,200,D,2,D,98,E
20151,2922563,1,3,1,200,D,1,D,13,E
20151,2922633,8,0,1,200,D,12,D,100,D
20151,2922663,1,3,1,200,D,12,D,19,E
20151,2922743,3,1,1,200,D,11,D,17,E
20151,2922763,7,0,1,200,D,1,D,.,H
20151,2922763,7,100,1,200,D,1,D,28,E
20151,2922763,7,200,1,200,D,1,D,53,E
20151,2922763,7,400,1,200,D,1,D,19,E
20151,2923363,13,0,1,200,D,1,D,100,D
20151,2923543,2,1,1,200,D,12,D,27,E
20151,2924143,6,102,1,200,D,12,D,15,E
20151,2924213,3,3,1,200,D,12,D,43,E
20151,2924333,9,0,1,200,D,12,D,20,D
20151,2924333,10,0,1,200,D,12,D,60,D
20151,2924423,6,0,1,200,D,1,D,15,D
20151,2924533,15,0,1,200,D,1,D,20,D
20151,2924533,16,0,1,200,D,12,D,.,H
20151,2924533,16,100,1,200,D,12,D,85,E
20151,2924533,16,200,1,200,D,12,D,78,E
20151,2924573,4,0,1,200,D,12,D,50,D
20151,2924913,2,3,1,200,D,12,D,10,E
20151,2925063,2,103,1,200,D,1,D,7,E
20151,2925203,4,0,1,200,D,1,D,11,D
20151,2925253,12,0,1,200,D,12,D,20,D
20151,2925623,7,101,2,200,D,11,D,26,E
20151,2925623,7,201,2,200,D,11,D,37,E
20151,2925633,1,1,1,200,D,12,D,51,G
20151,2925653,4,0,1,200,D,12,D,16,D
20151,2926273,5,1,1,200,D,12,D,93,E
20151,2926653,6,0,1,200,D,12,D,30,D
20151,2926833,8,0,1,200,D,11,D,13,D
20151,2926833,10,0,2,200,D,11,D,178,D
20151,2927193,7,1,1,200,D,12,D,9,E
20151,2927193,10,3,1,200,D,11,D,14,E
20151,2927453,3,4,1,200,D,12,D,51,E
20151,2927803,1,205,1,200,D,12,D,40,E
20151,2927803,1,405,1,200,D,12,D,75,E
20151,2927893,1,0,1,200,D,1,D,70,D
20151,2927913,7,0,1,200,D,1,D,120,D
20151,2928753,1,0,1,200,D,12,D,.,H
20151,2928753,1,100,1,200,D,12,D,52,E
20151,2928753,1,200,1,200,D,12,D,48,E
20151,2928893,2,2,1,200,D,12,D,25,E
20151,2929443,2,2,1,200,D,12,D,8,E
20151,2930453,16,0,1,200,D,1,D,30,D
20151,2930884,1,101,1,200,D,12,D,1,E
20151,2930884,1,201,1,200,D,12,D,14,E
20151,2930893,4,0,1,200,D,1,D,16,D
20151,2931073,2,2,1,200,D,12,D,74,E
20151,2931073,3,1,1,200,D,12,D,10,E
20151,2931083,1,0,1,200,D,1,D,42,D
20151,2931253,8,0,1,200,D,12,D,54,D
20151,2931343,1,3,1,200,D,12,D,39,E
20151,2931654,1,0,1,200,D,12,D,53,D
20151,2931953,2,0,1,200,D,12,D,100,D
20151,2932023,5,0,1,200,D,11,D,10,F
20151,2932363,4,102,1,200,D,11,D,18,E
20151,2932413,15,0,1,200,D,12,D,48,D
20151,2932413,16,0,1,200,D,12,D,37,D
20151,2932413,17,0,1,200,D,12,D,11,D
20151,2932453,7,0,1,200,D,12,D,45,D
20151,2932703,22,0,1,200,D,12,D,200,D
20151,2932953,7,0,1,200,D,12,D,32,D
20151,2933133,7,0,1,200,D,12,D,50,D
20151,2933233,1,102,1,200,D,12,D,7,E
20151,2933233,1,202,1,200,D,12,D,29,E
20151,2933453,3,2,1,200,D,1,D,22,E
20151,2933453,5,1,1,200,D,12,D,20,E
20151,2933513,3,4,1,200,D,12,D,159,E
20151,2933573,6,103,1,200,D,12,D,19,E
20151,2933573,6,204,1,200,D,12,D,17,E
20151,2933704,3,103,1,200,D,1,D,13,E
20151,2933704,3,203,1,200,D,1,D,16,E
20151,2945543,6,0,1,200,D,1,D,16,D
20151,2945843,1,0,1,200,D,1,D,.,H
20151,2945843,1,300,1,200,D,1,D,17,E
20151,2945843,1,400,1,200,D,1,D,16,E
20151,2945923,1,0,1,200,D,12,D,11,D
20151,2945963,8,0,1,200,D,12,D,50,D
20151,2945963,9,0,1,200,D,12,D,50,D
20151,2946663,2,0,1,200,D,12,D,15,D
20151,2946703,3,202,1,200,D,12,D,60,E
20151,2946703,3,302,1,200,D,12,D,15,E
20151,2946973,4,0,1,200,D,1,D,45,D
20151,2947123,4,0,1,200,D,12,D,10,D
20151,2947203,3,2,1,200,D,12,D,20,E
20151,2947303,2,4,1,200,D,2,D,13,E
20151,2947365,3,0,1,200,D,2,D,27,D
20151,2947434,3,0,1,200,D,12,D,30,D
20151,2947453,1,0,2,200,D,12,D,16,D
20151,2947613,3,102,1,200,D,2,D,53,E
20151,2947613,3,203,1,200,D,2,D,19,E
20151,2947963,4,2,1,200,D,2,D,51,E
20151,2948253,5,2,2,200,D,12,D,66,E
20151,2948333,9,0,1,200,D,2,D,20,D
20151,2948493,4,2,2,200,D,12,D,31,E
20151,2948643,5,1,1,200,D,12,D,43,E
20151,2948943,1,0,1,200,D,1,D,16,D
20151,2949533,2,0,1,200,D,12,D,14,D
20151,2949923,2,2,1,200,D,12,D,19,E
20151,2949923,4,2,1,200,D,12,D,35,E
20151,2950073,6,104,1,200,D,12,D,49,E
20151,2950073,6,204,1,200,D,12,D,7,E
20151,2950153,1,0,1,200,D,12,D,14,D
20151,2950153,2,0,1,200,D,1,D,14,D
20151,2950163,2,0,1,200,D,1,D,30,D
20151,2950583,4,0,1,200,D,12,D,55,D
20151,2950603,13,2,1,200,D,12,D,4,E
20151,2950663,1,1,1,200,D,2,D,2,G
20151,2951113,3,0,1,200,D,12,D,43,D
20151,2951113,6,0,2,200,D,12,D,37,D
20151,2951754,5,0,1,200,D,12,D,65,D
20151,2951813,12,0,1,200,D,2,D,.,H
20151,2951813,12,100,1,200,D,2,D,29,E
20151,2951813,12,300,1,200,D,2,D,23,E
20151,2952425,9,4,1,200,D,12,D,39,E
20151,2952703,6,0,1,200,D,1,D,10,D
20151,2952773,6,4,1,200,D,12,D,57,E
20151,2952983,8,0,1,200,D,2,D,40,D
20151,2953553,5,102,1,200,D,12,D,3,E
20151,2953553,5,202,1,200,D,12,D,24,E
20151,2953553,5,501,1,200,D,12,D,55,E
20151,2953874,1,2,1,200,D,12,D,43,E
20151,2953874,2,2,1,200,D,12,D,31,E
20151,2954093,5,2,1,200,D,12,D,22,E
20151,2954093,6,2,1,200,D,12,D,44,E
20151,2954093,7,2,1,200,D,12,D,44,E
20151,2954093,8,102,1,200,D,12,D,42,E
